name,type,type2,abilitie,abilitie2
charmander,fire,,blaze,solar-power
charmeleon,fire,,blaze,solar-power
charizard,fire,flying,blaze,solar-power
butterfree,bug,flying,compound-eyes,tinted-lens
pidgey,normal,flying,keen-eye,tangled-feet
pidgeotto,normal,flying,keen-eye,tangled-feet
pidgeot,normal,flying,keen-eye,tangled-feet
bulbasaur,grass,poison,overgrow,chlorophyll
ivysaur,grass,poison,overgrow,chlorophyll
venusaur,grass,poison,overgrow,chlorophyll
rattata,normal,,run-away,guts
raticate,normal,,run-away,guts
metapod,bug,,shed-skin,
kakuna,bug,poison,shed-skin,
caterpie,bug,,shield-dust,run-away
weedle,bug,poison,shield-dust,run-away
beedrill,bug,poison,swarm,sniper
squirtle,water,,torrent,rain-dish
wartortle,water,,torrent,rain-dish
blastoise,water,,torrent,rain-dish
